2026-01-16 12:07:41,609 | INFO | input=Gostaria de saber o prazo da entrega do pedido 789 para 15 de fevereiro | intent=prazo | confidence=0.3333 | entities=[{'text': '789', 'label': 'NUMBER'}, {'text': '15 de fevereiro', 'label': 'DATE'}]
2026-01-16 12:09:31,264 | INFO | input=Gostaria de saber o prazo da entrega do pedido 789 para 15 de fevereiro | intent=prazo | confidence=0.3814 | entities=[{'text': '789', 'label': 'NUMBER'}, {'text': '15 de fevereiro', 'label': 'DATE'}]
2026-01-16 12:09:31,292 | INFO | input=Preciso de status da requisição 123 | intent=status | confidence=0.4057 | entities=[{'text': '123', 'label': 'NUMBER'}]
2026-01-16 12:09:31,306 | INFO | input=Quero cancelar meu pedido imediatamente | intent=cancelamento | confidence=0.5189 | entities=[]
2026-01-16 12:09:31,319 | INFO | input=Estou com erro no sistema ao enviar formulário | intent=erro | confidence=0.5823 | entities=[]
2026-01-16 12:09:31,332 | INFO | input=Quero falar com um atendente humano por telefone | intent=humano | confidence=0.7123 | entities=[]
2026-01-16 12:09:31,346 | INFO | input=Qual a deadline do projeto? | intent=prazo | confidence=0.3898 | entities=[]
2026-01-16 12:09:31,361 | INFO | input=Desejo encerrar minha assinatura | intent=cancelamento | confidence=0.5142 | entities=[]
2026-01-16 12:09:31,375 | INFO | input=Recebi uma mensagem de erro durante o processo | intent=erro | confidence=0.4661 | entities=[]
2026-01-16 12:09:31,390 | INFO | input=Quero verificar o andamento da solicitação | intent=status | confidence=0.4028 | entities=[{'text': 'Quero', 'label': 'PER'}]
2026-01-16 12:09:31,403 | INFO | input=Preciso saber a data limite para conclusão | intent=prazo | confidence=0.4617 | entities=[]
2026-01-16 12:16:07,056 | INFO | input=Quero cancelar meu contrato | intent=cancelamento | confidence=0.5022 | entities=[{'text': 'contrato', 'label': 'CONTRACT'}]
2026-01-16 12:16:07,106 | INFO | input=Preciso saber o prazo do projeto 123 | intent=prazo | confidence=0.3935 | entities=[{'text': '123', 'label': 'NUMBER'}, {'text': 'projeto', 'label': 'PROJECT'}]
2026-01-16 12:16:07,120 | INFO | input=Desejo encerrar minha assinatura | intent=cancelamento | confidence=0.5142 | entities=[{'text': 'assinatura', 'label': 'SUBSCRIPTION'}]
2026-01-16 12:16:07,133 | INFO | input=Gostaria de verificar a solicitação 456 | intent=status | confidence=0.3015 | entities=[{'text': '456', 'label': 'NUMBER'}, {'text': 'solicitação', 'label': 'REQUEST'}]
2026-01-16 12:16:07,147 | INFO | input=Quero acompanhar o status do pedido 789 | intent=status | confidence=0.5648 | entities=[{'text': '789', 'label': 'NUMBER'}, {'text': 'pedido', 'label': 'ORDER'}]
2026-01-16 12:18:52,752 | INFO | input=Quero cancelar meu contrato | intent=cancelamento | confidence=0.5022 | entities=[{'text': 'contrato', 'label': 'CONTRACT'}]
2026-01-16 12:18:52,769 | INFO | input=Preciso saber o prazo do projeto 123 | intent=prazo | confidence=0.3935 | entities=[{'text': '123', 'label': 'NUMBER'}, {'text': 'projeto', 'label': 'PROJECT'}]
2026-01-16 12:18:52,783 | INFO | input=Desejo encerrar minha assinatura | intent=cancelamento | confidence=0.5142 | entities=[{'text': 'assinatura', 'label': 'SUBSCRIPTION'}]
2026-01-16 12:18:52,798 | INFO | input=Gostaria de verificar a solicitação 456 | intent=status | confidence=0.3015 | entities=[{'text': '456', 'label': 'NUMBER'}, {'text': 'solicitação', 'label': 'REQUEST'}]
2026-01-16 12:18:52,812 | INFO | input=Quero acompanhar o status do pedido 789 | intent=status | confidence=0.5648 | entities=[{'text': '789', 'label': 'NUMBER'}, {'text': 'pedido', 'label': 'ORDER'}]
2026-01-16 12:20:19,128 | INFO | input=Quero cancelar meu contrato | intent=cancelamento | confidence=0.5022 | entities=[{'text': 'contrato', 'label': 'CONTRACT'}]
2026-01-16 12:20:19,143 | INFO | input=Preciso saber o prazo do projeto 123 | intent=prazo | confidence=0.3935 | entities=[{'text': '123', 'label': 'NUMBER'}, {'text': 'projeto', 'label': 'PROJECT'}]
2026-01-16 12:20:19,157 | INFO | input=Desejo encerrar minha assinatura | intent=cancelamento | confidence=0.5142 | entities=[{'text': 'assinatura', 'label': 'SUBSCRIPTION'}]
2026-01-16 12:20:19,171 | INFO | input=Gostaria de verificar a solicitação 456 | intent=status | confidence=0.3015 | entities=[{'text': '456', 'label': 'NUMBER'}, {'text': 'solicitação', 'label': 'REQUEST'}]
2026-01-16 12:20:19,186 | INFO | input=Quero acompanhar o status do pedido 789 | intent=status | confidence=0.5648 | entities=[{'text': '789', 'label': 'NUMBER'}, {'text': 'pedido', 'label': 'ORDER'}]
2026-01-16 12:27:40,495 | INFO | input=Quero cancelar meu contrato | intent=cancelamento | confidence=0.5022 | entities=[{'text': 'contrato', 'label': 'CONTRACT'}]
2026-01-16 12:37:13,422 | INFO | input=Quero cancelar meu contrato | intent=cancelamento | confidence=0.5022 | entities=[{'text': 'contrato', 'label': 'CONTRACT'}]
